Ticker,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,GICS Sector
HZO,-,10.36,2.53,3.10%,21.50M,-11.85%,575.88M,11.05,2.38,-28.02%,20.93M,-13.56%,55.70M,0.35,0.36,97.50%,7.33%,21.18%,1.42B,0.41,-9.70%,3.18%,4.02,75.77%,19.77,1.33,-8.40%,6.90%,32.25,79.13%,3.96,6.63,30.00%,14.30%,7.24 - 34.06,57.34%,-,2.99,28.00%,7.00%,-24.12%,1.93,-,0.60,14.60%,26.10%,256.66%,1.64,1754,1.80,29.90%,6.10%,34.74,7.63% 5.01%,Yes,0.35,89.40%,3.90%,1.38,26.26,Yes,0.00,Jul 23 BMO,0.00%,381.67K,25.84,2.20,-16.39%,-6.85%,35.25%,"528,142",-1.60%,Consumer Discretionary
JAMF,-,-,-0.27,0.70%,117.14M,2.09%,4.52B,-,-,0.00%,115.60M,-3.98%,-31.90M,-,-,-,0.90%,-,220.30M,20.52,10.10%,-,0.65,-,-,-,-,-,-,-,0.19,199.14,-,-,35.50 - 51.00,-1.56%,-,-,-,-1.40%,-28.12%,-,-,0.60,-,73.70%,3.27%,2.11,1318,0.60,37.00%,-9.40%,-,6.07% 5.21%,Yes,0.41,8.00%,-14.50%,0.52,38.59,Yes,0.41,Sep 01 AMC,-,1.60M,36.66,-,-5.57%,-6.56%,-6.56%,"838,350",-5.00%,Information Technology
HEES,-,33.87,0.61,8.10%,36.03M,-0.48%,727.83M,13.99,1.48,1.40%,31.68M,4.20%,22.20M,2.85,0.31,70.30%,3.55%,-0.81%,1.27B,0.58,13.40%,-5.35%,3.69,1.52%,7.27,2.85,22.18%,1.20%,24.50,-17.01%,0.18,115.53,11.90%,7.90%,9.12 - 37.85,-37.99%,1.10,2.72,9.10%,10.30%,-43.57%,2.50,5.31%,-,4.30%,36.20%,134.21%,0.84,2432,-,-16.60%,7.30%,60.32,4.25% 3.71%,Yes,3.87,-61.10%,1.80%,1.02,20.73,Yes,3.87,Aug 04 BMO,177.70%,305.19K,21.36,2.50,3.03%,10.98%,-1.81%,"312,313",3.04%,Industrials
FREQ,-,-,-0.58,2.60%,31.07M,-9.20%,621.27M,-,-0.40,-11.58%,26.12M,-15.89%,-18.10M,-,-0.28,49.50%,15.03%,-3.46%,44.70M,13.90,-3.30%,30.25%,16.35,-12.23%,5.20,3.49,61.20%,-8.90%,-,-,5.71,3.18,-,-16.60%,11.17 - 28.78,3.54%,-,26.55,-,-12.40%,-38.29%,-,-,4.80,-,64.20%,59.00%,1.26,47,4.80,-,-43.90%,30.60,6.51% 6.42%,Yes,0.00,52.30%,-40.40%,0.54,18.15,Yes,0.00,-,-,240.06K,17.76,2.00,-16.17%,-18.35%,-10.40%,"130,359",-2.15%,Healthcare
AMBC,-,-,-7.83,0.90%,46.17M,0.08%,576.76M,-,-2.17,2.10%,45.40M,-4.80%,-359.40M,-,-0.64,82.20%,6.19%,-14.89%,320.50M,1.80,-217.80%,2.62%,6.31,-32.39%,23.16,0.55,56.90%,-2.70%,14.00,-32.68%,0.37,33.93,11.00%,-28.10%,8.74 - 22.90,-41.17%,-,-,-19.70%,0.60%,-43.80%,1.45,-,-,3.00%,-,47.25%,0.47,104,-,-4.60%,-,50.29,2.74% 4.01%,Yes,6.43,72.90%,-,0.39,12.69,Yes,6.43,Aug 06 AMC,-,445.83K,12.87,3.00,-1.17%,-3.05%,-22.62%,"172,661",1.42%,Financial
QUOT,-,-,-0.62,5.90%,90.11M,-11.31%,752.55M,-,-0.19,-0.68%,75.78M,-15.68%,-55.80M,-,-0.05,76.40%,3.55%,5.24%,415.60M,1.81,-34.50%,7.42%,4.91,3.13%,2.91,2.83,52.20%,-9.90%,11.01,10.32%,-,-,20.00%,-20.10%,4.55 - 11.42,-16.53%,-,107.51,-3.30%,-5.90%,-30.47%,0.76,-,4.00,14.50%,38.80%,74.51%,0.39,1072,4.00,-20.20%,-9.80%,37.27,5.77% 3.94%,Yes,0.65,-403.10%,-13.40%,0.96,8.23,Yes,0.65,Aug 04 AMC,-,548.54K,7.94,1.90,-11.74%,-4.17%,-4.59%,"526,976",-3.52%,Communication Services
OFIX,-,-,-1.15,2.90%,19.14M,-4.37%,565.68M,31.25,0.94,3.95%,18.74M,-11.82%,-21.60M,-,-0.43,97.20%,1.57%,-21.96%,413.00M,1.37,-314.90%,-0.08%,2.51,-10.69%,18.56,1.58,354.10%,-5.80%,47.75,-42.09%,2.99,9.80,9.40%,-8.50%,22.11 - 54.90,-36.53%,-,19.11,-49.30%,-5.80%,-47.56%,1.05,-,2.40,2.70%,76.40%,30.21%,1.19,1055,3.60,-3.90%,-4.50%,33.58,3.14% 3.92%,Yes,0.06,-,-6.90%,0.75,29.31,Yes,0.06,Aug 06 BMO,-,116.78K,28.79,1.80,-9.62%,-8.82%,-20.74%,"87,469",-1.77%,Healthcare
FFWM,-,10.60,1.42,0.50%,44.62M,-3.22%,671.99M,9.04,1.66,-18.95%,38.96M,-3.99%,63.60M,1.51,0.50,63.40%,1.84%,-7.51%,249.20M,2.70,24.10%,4.06%,3.38,8.84%,14.31,1.05,0.73%,1.00%,19.50,5.55%,9.79,1.53,7.00%,10.30%,8.01 - 17.64,-13.68%,0.28,13.02,19.50%,23.10%,-13.27%,1.44,1.86%,-,39.30%,-,91.01%,0.53,485,-,-2.20%,69.80%,47.45,3.41% 3.61%,No,0.01,44.10%,25.50%,1.26,15.02,Yes,0.01,Jul 21 BMO,16.80%,212.52K,15.3,1.80,-2.60%,-2.35%,3.05%,"267,236",1.86%,Financial
TBI,-,-,-3.36,0.20%,35.08M,-0.12%,586.37M,16.90,0.98,0.00%,34.06M,6.06%,-123.20M,-,0.08,99.50%,2.88%,-2.69%,2.08B,0.28,-1.00%,-1.77%,3.01,15.97%,11.77,1.41,394.47%,-11.50%,14.50,-16.93%,2.61,6.37,10.00%,-23.80%,12.02 - 24.98,-30.88%,-,4.47,0.20%,7.80%,-34.11%,1.81,-,1.60,1.70%,25.40%,36.94%,0.5,6200,1.60,-39.00%,-7.70%,58.35,2.47% 2.47%,Yes,0.17,-147.50%,-5.90%,0.64,16.63,Yes,0.10,Jul 27 AMC,-,325.59K,16.46,3.00,0.18%,8.44%,-3.89%,"207,747",-1.02%,Industrials
IMKTA,-,6.88,5.82,0.33%,20.26M,-3.28%,835.46M,-,-,0.00%,14.16M,0.43%,141.70M,0.47,-,97.40%,10.49%,-4.16%,4.49B,0.19,35.80%,-0.14%,13.04,2.98%,37.72,1.06,-,7.30%,-,0.48%,7.29,5.49,14.50%,20.10%,32.21 - 49.14,-15.66%,0.66,5.05,12.10%,8.40%,-20.54%,0.67,1.65%,0.60,1.80%,25.30%,21.24%,1.27,10260,1.40,12.00%,5.10%,37.17,2.90% 2.92%,Yes,1.07,105.40%,3.20%,0.79,40.07,Yes,0.85,Aug 06 BMO,9.40%,113.88K,39.05,-,-6.98%,-5.60%,-5.02%,"90,111",-2.55%,Consumer Staples
NVEE,-,36.15,1.44,2.40%,12.31M,-3.42%,695.11M,13.59,3.83,-6.14%,9.66M,-14.07%,18.10M,2.63,0.70,65.40%,14.13%,-3.40%,591.80M,1.17,-19.10%,0.80%,16.03,-5.39%,30.25,1.72,17.75%,2.30%,72.83,-20.87%,4.88,10.66,13.75%,5.00%,27.00 - 76.20,3.05%,-,10.52,16.80%,3.60%,-31.19%,1.26,-,2.40,36.30%,50.10%,94.19%,2.14,3362,2.40,27.10%,5.80%,46.23,2.92% 4.09%,Yes,0.94,-49.20%,3.10%,0.8,51.99,Yes,0.88,Aug 05 AMC,0.00%,85.13K,52.43,2.00,-3.53%,-2.70%,4.57%,"67,996",0.85%,Industrials
IVR,-,-,-11.04,0.20%,166.94M,-7.84%,509.71M,12.70,0.22,0.00%,164.58M,-10.76%,-1742.50M,-,0.03,58.40%,34.50%,-33.33%,605.90M,0.84,334.10%,-18.20%,3.64,-80.32%,3.56,0.79,101.40%,-12.00%,2.66,-78.12%,1.49,1.89,1.70%,-113.20%,1.56 - 15.73,-80.29%,0.08,4.46,26.80%,1.20%,-81.69%,1.33,2.84%,-,2.50%,41.20%,84.13%,0.16,-,-,-85.10%,39.20%,41.90,4.37% 5.53%,Yes,1.24,-,-,0.47,2.82,Yes,1.24,Aug 06 AMC,-,15.62M,2.88,3.80,-6.45%,-11.09%,-62.69%,"7,289,368",2.13%,Real Estate
MDP,-,30.09,0.46,0.70%,45.70M,-2.49%,732.41M,3.72,3.69,8.02%,42.11M,-5.59%,22.40M,1.17,0.28,93.73%,23.71%,-35.61%,3.09B,0.24,196.80%,0.83%,12.50,-40.68%,12.96,1.06,39.21%,-0.40%,19.90,-59.35%,1.93,7.08,25.70%,-2.80%,10.01 - 43.84,-57.84%,-,27.74,-14.80%,7.50%,-67.88%,1.71,-,1.20,16.80%,63.50%,40.66%,0.81,5560,1.20,-6.50%,9.70%,51.58,4.14% 6.29%,Yes,4.89,-,-0.80%,0.59,13.69,Yes,4.89,Aug 13 BMO,-,798.75K,14.08,2.80,-0.78%,-1.43%,-33.42%,"474,481",2.85%,Communication Services
OPCH,-,-,-0.51,0.20%,176.71M,1.32%,2.08B,58.28,0.20,-98.89%,53.88M,-6.18%,-86.20M,-,-0.04,92.50%,3.09%,-29.18%,2.78B,0.75,75.30%,0.27%,2.11,-14.58%,4.91,2.35,225.00%,-3.30%,19.80,-17.57%,0.65,17.63,10.00%,-9.70%,5.74 - 18.21,-22.65%,-,57.50,43.90%,0.10%,-39.21%,1.20,-,1.20,20.20%,22.90%,92.86%,0.53,5081,1.60,49.00%,1.20%,42.22,4.87% 4.42%,Yes,1.48,54.50%,-3.10%,0.79,11.54,Yes,1.47,Aug 04 BMO,-,789.63K,11.07,1.30,-6.82%,-11.00%,-17.81%,"621,263",-4.07%,Healthcare
MYE,-,15.09,1.01,0.80%,35.77M,-2.50%,543.70M,18.25,0.83,16.49%,35.46M,-3.80%,36.10M,0.75,0.14,93.50%,1.65%,-1.62%,482.90M,1.13,-7.70%,0.61%,3.92,4.04%,5.08,2.99,15.21%,10.20%,17.00,-9.36%,2.02,7.52,20.00%,20.90%,6.91 - 18.47,-8.87%,0.54,46.08,19.60%,11.60%,-18.12%,1.53,3.55%,1.20,-3.70%,33.90%,118.81%,0.42,1640,1.70,-11.80%,10.90%,42.38,2.61% 2.19%,Yes,0.43,26.00%,7.50%,0.46,15.2,Yes,0.21,Jul 30 BMO,53.50%,148.70K,15.12,2.70,-5.60%,-0.36%,5.24%,"68,282",-0.53%,Consumer Discretionary
RVMD,-,-,-21.25,0.50%,58.75M,-1.20%,1.83B,-,-1.67,-17.69%,41.10M,14.33%,-,-,-0.39,73.10%,3.51%,-14.52%,46.17M,39.72,-13.70%,2.86%,4.69,-12.14%,6.14,4.57,7.70%,-,42.25,-,4.98,5.63,-,-,17.34 - 47.14,-2.84%,-,-,-,32.60%,-42.98%,-,-,7.80,-,-,54.97%,2.03,106,7.80,-24.20%,-,48.23,6.89% 7.42%,No,0.00,-113.40%,-,1.24,28.08,Yes,0.00,-,-,307.86K,26.88,1.80,-1.35%,-0.50%,-7.30%,"381,317",-4.27%,Healthcare
EXTR,-,-,-1.03,1.20%,119.16M,-5.56%,510.85M,9.57,0.44,13.36%,117.44M,-15.34%,-122.70M,-,0.02,79.90%,4.08%,-16.67%,984.90M,0.52,46.50%,-1.08%,3.74,-11.83%,0.14,30.36,72.76%,-9.00%,6.80,-36.94%,-,-,20.00%,-123.10%,1.43 - 8.00,-42.33%,-,11.56,18.20%,-5.00%,-49.25%,1.87,-,0.90,13.90%,54.40%,183.92%,0.25,2713,1.10,-16.50%,-6.30%,36.86,6.31% 4.77%,Yes,25.40,-533.30%,-8.70%,1.06,4.25,Yes,24.37,Aug 05 BMO,-,1.28M,4.06,2.40,-11.65%,-9.13%,-16.83%,"1,354,739",-4.47%,Information Technology
TVTY,-,-,-9.93,3.60%,48.71M,-0.25%,782.30M,10.47,1.54,42.37%,41.37M,18.30%,-478.80M,-,0.37,-,19.03%,41.48%,1.18B,0.66,-371.30%,-6.42%,11.19,47.57%,0.77,20.91,10.18%,-29.50%,20.44,-5.07%,1.24,12.97,2.20%,-234.20%,1.92 - 26.07,-20.87%,-,5.69,-47.90%,-16.50%,-39.16%,2.31,-,0.80,22.80%,43.90%,726.04%,0.9,1000,1.00,-22.90%,-38.50%,51.89,4.89% 5.15%,Yes,26.89,56.10%,-40.70%,0.63,16.1,Yes,26.61,Aug 05 AMC,-,703.61K,15.86,2.70,-5.64%,12.06%,11.48%,"443,308",-1.49%,Healthcare
EBSB,-,8.84,1.31,0.20%,50.13M,-0.09%,606.39M,11.73,0.99,0.00%,46.97M,0.35%,67.00M,0.74,0.28,68.10%,1.54%,-11.71%,263.50M,2.30,22.90%,1.04%,4.54,-28.33%,14.65,0.79,-11.05%,1.10%,14.13,-33.77%,10.38,1.12,12.00%,9.30%,8.88 - 20.86,-42.21%,0.32,12.87,25.60%,21.20%,-44.61%,0.90,2.76%,-,19.60%,-,30.12%,0.35,464,-,-6.20%,69.80%,50.17,2.10% 3.15%,Yes,0.00,16.90%,25.40%,0.96,11.61,Yes,0.00,Jul 21 AMC,23.40%,158.97K,11.56,2.00,-2.45%,0.02%,-18.75%,"152,470",-0.47%,Financial
AERI,-,-,-4.42,1.60%,45.88M,2.25%,545.62M,-,-2.25,-0.65%,45.52M,-4.86%,-201.80M,-,-0.80,-,17.55%,-24.57%,81.60M,6.69,21.30%,-5.78%,10.34,-25.07%,1.96,5.80,29.70%,-46.70%,-,-38.29%,5.04,2.26,-,-136.10%,10.22 - 26.26,-53.00%,-,-,-17.10%,-52.70%,-55.56%,0.83,-,3.50,-,79.00%,14.19%,0.59,380,3.70,13.90%,-,49.08,5.80% 5.34%,Yes,2.22,-1.10%,-,0.84,11.36,Yes,2.22,Aug 06 AMC,-,772.56K,11.67,1.90,-0.99%,-7.57%,-29.12%,"648,417",2.73%,Healthcare
EB,-,-,-2.67,0.40%,88.41M,3.91%,943.50M,-,-0.67,-0.62%,66.19M,20.44%,-229.00M,-,-0.43,90.80%,11.52%,-6.60%,222.20M,4.25,50.90%,19.17%,4.43,-14.91%,3.72,2.93,76.50%,-28.50%,11.25,-36.74%,6.32,1.73,46.40%,-62.30%,5.71 - 22.90,-45.96%,-,-,-,-16.80%,-49.48%,-,-,1.90,-,52.50%,102.63%,0.54,1111,1.90,-89.60%,-99.10%,68.79,5.60% 5.60%,Yes,0.00,-140.00%,-,1.08,10.9,Yes,0.60,Aug 06 AMC,-,1.72M,11.57,2.50,13.45%,24.82%,-11.59%,"1,853,739",6.15%,Information Technology
TRST,-,10.56,0.55,1.60%,96.43M,-0.68%,557.44M,10.55,0.55,9.24%,94.13M,-1.69%,53.20M,2.11,0.12,67.70%,1.88%,-17.20%,187.20M,2.98,-6.10%,0.45%,4.35,-17.26%,5.74,1.01,5.77%,1.00%,7.00,-24.28%,9.97,0.58,5.00%,9.80%,4.30 - 9.10,-33.10%,0.27,17.75,5.10%,25.40%,-34.73%,1.19,4.66%,-,4.10%,-,38.14%,0.18,814,-,-8.40%,81.70%,51.73,3.15% 3.00%,Yes,0.00,-22.90%,28.40%,1.29,5.8,Yes,0.00,Jul 21 AMC,49.60%,407.20K,5.94,2.00,-0.75%,-0.83%,-12.14%,"524,027",2.41%,Financial
CLNC,-,-,-4.89,0.40%,128.54M,-5.19%,729.79M,7.80,0.75,0.00%,127.76M,-11.50%,-627.90M,-,0.17,69.40%,1.14%,-15.46%,331.70M,2.20,-133.60%,5.99%,2.58,-51.09%,13.07,0.45,314.30%,-8.70%,9.00,-54.93%,3.51,1.67,-,-32.10%,2.46 - 14.74,-55.55%,1.20,4.47,-,-3.50%,-60.24%,-,20.51%,-,-,57.30%,138.21%,0.33,-,-,-26.60%,-,41.78,4.89% 5.32%,No,2.78,-111.50%,-,0.84,5.85,Yes,2.78,Aug 06 AMC,-,563.46K,5.86,2.50,-5.57%,-8.56%,-30.38%,"472,034",0.17%,Real Estate
DENN,-,14.00,0.85,1.30%,63.71M,8.83%,706.12M,24.41,0.49,-3.07%,61.59M,29.72%,53.70M,1.56,-0.03,72.90%,3.55%,-11.24%,375.00M,1.88,184.90%,-6.23%,1.18,-22.64%,-3.91,-,-,11.60%,12.36,-49.34%,0.39,30.31,9.00%,-31.80%,4.50 - 23.88,-39.84%,-,-,38.70%,112.50%,-53.43%,1.41,-,0.80,2.80%,64.30%,147.11%,0.59,4000,0.80,-73.50%,26.50%,56.73,5.67% 5.49%,Yes,-,-174.80%,14.30%,0.96,11.96,Yes,-,Jul 28 AMC,0.00%,1.85M,11.12,2.10,2.89%,14.01%,-18.45%,"1,776,248",-7.02%,Consumer Discretionary
SIG,-,-,-2.23,3.10%,51.80M,6.31%,935.49M,9.56,1.87,3.49%,50.91M,45.76%,-114.50M,-,-1.95,-,31.12%,18.66%,5.56B,0.17,111.10%,0.98%,6.94,-15.47%,18.99,0.94,189.50%,-1.80%,9.00,27.92%,20.37,0.88,7.00%,-10.50%,5.60 - 31.44,-17.80%,-,3.81,-21.70%,7.30%,-38.68%,2.72,-,1.00,1.40%,34.90%,244.28%,1.21,26126,2.40,-40.50%,-2.50%,75.49,9.35% 7.70%,Yes,1.38,-,-2.10%,0.98,17.87,Yes,1.36,Sep 03 BMO,-,2.28M,19.28,3.80,24.28%,49.69%,26.31%,"2,243,399",7.89%,Consumer Discretionary
HLIT,-,-,-0.21,2.00%,96.73M,-4.08%,549.51M,17.14,0.33,1.04%,93.89M,-13.43%,-20.10M,-,-0.05,89.40%,6.99%,1.71%,390.30M,1.41,73.10%,0.65%,9.46,-7.69%,2.38,2.37,169.60%,-3.50%,7.64,-16.07%,0.80,7.07,23.70%,-8.40%,4.44 - 8.57,-27.69%,-,63.16,33.30%,2.00%,-31.21%,0.84,-,1.20,-1.50%,54.50%,32.77%,0.3,809,1.40,-12.80%,-1.30%,50.12,4.19% 4.08%,Yes,0.67,-19.50%,-5.20%,0.97,5.64,Yes,0.61,Aug 03 AMC,-,693.55K,5.89,2.10,-4.79%,5.08%,-6.57%,"674,066",4.52%,Information Technology
APOG,-,11.19,1.85,2.70%,26.17M,-3.54%,539.86M,8.62,2.40,3.70%,25.49M,-8.37%,49.30M,0.75,0.30,94.20%,5.43%,-21.50%,1.32B,0.41,42.40%,0.31%,6.23,-31.80%,19.27,1.07,36.73%,4.40%,27.00,-43.70%,0.44,46.54,15.00%,9.70%,13.77 - 46.70,-36.31%,0.75,7.38,6.10%,9.50%,-55.10%,1.38,3.62%,0.70,8.20%,22.60%,52.32%,0.76,7200,0.90,-18.70%,5.40%,43.49,3.44% 3.43%,Yes,0.42,-80.90%,3.70%,0.68,20.7,Yes,0.11,Jun 26 BMO,38.80%,222.29K,20.97,2.60,-4.98%,-6.00%,-19.23%,"150,340",1.30%,Industrials
PAE,-,170.57,0.05,0.20%,92.04M,-0.22%,814.96M,14.06,0.64,0.00%,63.47M,4.27%,9.20M,-,0.14,85.90%,5.32%,-17.67%,1.26B,0.65,-16.00%,10.36%,4.88,-14.72%,1.20,7.53,59.55%,1.00%,13.50,-9.87%,1.54,5.88,-,3.70%,3.10 - 12.76,-12.57%,-,-,-,-,-29.78%,-,-,1.10,-,23.70%,189.50%,0.43,20000,1.10,-7.50%,-,49.64,4.95% 5.10%,No,5.53,423.10%,0.70%,0.18,9.04,Yes,5.32,Aug 06 BMO,0.00%,692.13K,8.96,2.00,0.16%,0.21%,-4.20%,"121,950",-0.88%,Industrials
CRTX,-,-,-1.99,1.10%,29.44M,-0.09%,1.30B,-,-2.67,-40.83%,16.02M,5.06%,-57.00M,-,-0.62,51.90%,8.66%,5.74%,-,-,-305.10%,35.17%,13.48,7.45%,6.98,6.28,-3.40%,-32.20%,-,90.57%,4.87,9.00,18.30%,-34.20%,20.14 - 73.84,-21.89%,-,-,-,-,-41.16%,-,-,11.10,-,-,115.74%,1.77,23,11.10,-,-,48.38,3.78% 4.30%,Yes,0.00,-77.20%,-,0.81,43.85,Yes,0.00,-,-,102.83K,43.45,2.10,-0.81%,-1.16%,-4.40%,"83,525",-0.91%,Healthcare
TRTX,-,-,-1.64,0.90%,76.64M,-1.22%,675.50M,8.39,1.06,6.29%,59.93M,-0.45%,-127.40M,-,0.27,87.50%,3.38%,-7.79%,328.10M,2.06,1.80%,0.02%,2.42,-53.41%,16.59,0.54,170.70%,-2.20%,10.17,-54.95%,2.58,3.44,5.00%,-9.30%,2.45 - 21.30,-56.19%,0.80,4.89,-,2.20%,-57.89%,-,9.01%,-,-,89.40%,266.12%,0.34,-,-,-20.90%,-37.70%,57.70,2.93% 3.85%,Yes,2.95,21.60%,-38.80%,0.31,8.88,Yes,1.60,Jul 29 AMC,-,837.35K,8.97,2.30,0.57%,5.55%,-28.50%,"256,582",1.01%,Real Estate
QNST,-,38.56,0.38,2.20%,51.81M,8.72%,746.28M,24.80,0.58,-25.95%,46.95M,17.47%,20.00M,1.54,0.09,89.90%,2.96%,28.08%,495.30M,1.51,270.80%,-0.48%,4.02,29.57%,4.81,3.01,19.96%,2.10%,16.90,25.96%,1.88,7.69,25.00%,3.00%,5.76 - 16.52,-5.55%,-,23.10,18.70%,28.00%,-13.08%,1.18,-,2.00,10.00%,11.10%,149.31%,0.55,637,2.00,10.80%,1.10%,70.22,5.64% 3.74%,Yes,0.00,-56.00%,1.40%,1.05,14.46,Yes,0.00,Aug 05 AMC,0.00%,346.11K,14.36,1.70,6.95%,19.37%,20.40%,"361,911",-0.69%,Communication Services
UFCS,-,-,-3.74,2.00%,25.03M,-9.16%,602.14M,95.20,0.25,-0.67%,20.67M,-10.36%,-92.10M,-,-0.31,64.20%,1.25%,-23.18%,1.07B,0.56,558.20%,-0.48%,3.31,-37.02%,34.39,0.69,175.80%,-3.10%,29.50,-47.90%,5.78,4.12,10.00%,-10.30%,22.08 - 48.00,-45.58%,1.32,118.07,-24.20%,1.60%,-50.23%,0.04,5.55%,-,5.00%,-,8.20%,1.04,1173,-,-2.10%,-12.60%,37.80,4.24% 3.80%,Yes,0.00,241.80%,-8.60%,0.61,23.8,Yes,0.00,Aug 05 BMO,-,77.94K,23.89,3.00,-9.06%,-9.67%,-29.49%,"47,916",0.38%,Financial
PACB,-,-,-0.33,1.70%,154.17M,0.47%,1.09B,-,-0.48,-24.34%,151.27M,61.99%,-51.00M,-,-0.14,79.40%,11.52%,57.57%,82.50M,13.19,27.30%,-3.93%,8.94,60.76%,0.27,23.52,-336.40%,-27.50%,6.33,13.39%,0.70,9.07,30.00%,-98.30%,2.20 - 7.25,23.54%,-,74.00,10.10%,-116.60%,-10.76%,1.96,-,1.00,8.40%,41.10%,194.09%,0.37,404,1.20,-30.50%,-60.90%,61.71,6.37% 6.81%,Yes,0.00,7.00%,-61.80%,1.63,6.35,Yes,0.00,Aug 03 AMC,-,1.95M,6.47,2.50,6.05%,36.51%,53.59%,"3,170,832",1.89%,Healthcare
CIR,-,-,-5.16,1.00%,19.99M,-4.23%,561.58M,11.96,2.39,0.00%,19.76M,-5.87%,-102.90M,-,0.31,99.11%,3.51%,23.81%,858.00M,0.65,26.00%,0.42%,3.10,-13.25%,13.68,2.09,87.66%,-16.30%,35.75,-20.45%,6.38,4.48,6.07%,-67.30%,8.00 - 46.79,-38.26%,-,-,-19.50%,2.20%,-37.87%,2.74,-,1.70,2.80%,31.60%,263.37%,1.4,4000,2.50,-24.30%,-7.80%,52.44,4.23% 5.07%,Yes,0.00,812.30%,-26.10%,0.42,28.55,Yes,2.12,Aug 07 BMO,-,224.16K,29.07,1.70,-2.43%,4.58%,1.14%,"93,772",1.82%,Industrials
RMAX,-,34.37,1.01,2.30%,18.12M,-2.44%,628.15M,16.21,2.15,-1.34%,17.61M,6.58%,18.20M,-,0.62,-,3.69%,5.16%,262.20M,2.40,-7.40%,1.91%,6.48,25.79%,27.71,1.26,17.76%,3.40%,39.40,35.70%,4.68,7.43,-,3.60%,14.40 - 40.78,-9.53%,0.88,16.75,5.00%,8.00%,-15.30%,1.66,2.53%,1.40,10.50%,-,139.86%,1.23,500,1.40,-26.90%,20.50%,48.48,2.85% 3.71%,Yes,0.45,-60.00%,6.90%,0.68,34.82,Yes,0.44,Aug 06 AMC,84.70%,100.33K,34.54,2.30,-3.66%,3.23%,8.72%,"68,530",-0.80%,Real Estate
INN,-,-,-0.58,2.20%,104.15M,-3.61%,604.55M,-,-0.90,0.00%,103.09M,1.73%,-60.00M,-,-0.37,98.40%,1.80%,-26.81%,401.30M,1.51,-5.00%,-3.79%,1.60,-30.70%,10.23,0.57,46.40%,-2.60%,7.86,-48.05%,1.21,4.85,-,-5.30%,2.32 - 12.59,-52.43%,-,-,71.90%,3.30%,-51.95%,2.08,-,-,6.40%,39.70%,160.78%,0.3,59,-,-91.00%,-4.20%,55.01,4.77% 5.20%,Yes,1.09,-199.60%,-15.00%,0.95,5.87,Yes,1.09,Aug 05 AMC,-,1.16M,6.05,1.70,0.58%,5.77%,-22.05%,"1,100,657",3.07%,Real Estate
SRI,-,-,-0.29,2.90%,26.95M,-1.63%,552.22M,27.39,0.75,-0.63%,25.59M,-5.01%,-7.40M,-,-0.17,99.50%,2.13%,-11.47%,676.30M,0.82,13.90%,-0.51%,3.13,5.68%,9.25,2.21,236.40%,-1.30%,24.50,-36.06%,2.68,7.63,0.28%,-2.70%,13.87 - 33.94,-30.22%,-,-,28.60%,15.10%,-40.78%,1.57,-,1.90,4.80%,23.00%,44.92%,0.78,4700,2.90,-55.20%,-1.90%,42.44,3.51% 3.24%,Yes,0.67,-157.40%,-1.10%,0.8,20.46,Yes,0.65,Jul 30 BMO,-,174.49K,20.1,2.00,-6.99%,-3.99%,-11.85%,"140,154",-1.76%,Consumer Discretionary
ECOM,-,28.06,0.54,5.30%,28.49M,-15.53%,432.44M,14.86,1.01,-24.20%,27.55M,-31.74%,16.10M,3.51,0.18,88.00%,2.87%,7.99%,135.90M,3.18,143.10%,3.20%,1.01,70.37%,4.01,3.74,7.22%,10.80%,21.88,72.13%,2.22,6.77,8.00%,15.80%,4.39 - 22.32,66.04%,-,20.99,15.80%,3.00%,-35.13%,1.04,-,2.70,8.90%,79.00%,229.83%,1.18,642,2.70,17.20%,12.30%,34.28,6.11% 6.74%,Yes,0.00,590.90%,11.90%,0.96,15.01,Yes,0.00,Aug 06 BMO,0.00%,782.96K,14.48,2.40,-17.18%,-16.35%,23.50%,"752,252",-3.53%,Information Technology
