Ticker,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,GICS Sector
GRUB,-,-,-1.15,0.30%,92.12M,-5.58%,6.44B,374.92,0.19,-57.34%,91.43M,-6.75%,-105.50M,-,-0.09,-,10.84%,14.59%,1.49B,4.34,-123.90%,-5.33%,3.53,33.64%,15.79,4.39,151.40%,-4.30%,63.86,14.83%,5.74,12.07,33.71%,-7.10%,29.35 - 79.18,42.60%,-,28.02,-21.90%,0.10%,-12.40%,1.11,-,1.60,38.90%,-,136.32%,1.87,2714,1.60,41.30%,-7.90%,31.42,2.51% 2.27%,Yes,0.00,-,-7.10%,1.01,71.84,Yes,0.34,Jul 30 BMO,-,2.81M,69.36,3.00,-7.85%,-4.29%,26.32%,"2,812,717",-3.45%,Communication Services
BERY,-,11.98,4.39,0.10%,132.50M,2.29%,6.84B,10.33,5.09,-42.72%,129.85M,-0.72%,593.00M,0.72,1.21,-,2.48%,11.15%,11.72B,0.58,9.10%,-3.26%,2.62,50.56%,14.11,3.73,13.73%,3.50%,61.00,35.58%,6.97,7.55,16.61%,34.30%,25.00 - 54.98,10.80%,-,6.44,42.50%,6.80%,-4.29%,1.34,-,1.30,12.40%,19.20%,110.48%,1.26,48000,1.90,50.20%,10.50%,55.39,2.81% 2.16%,Yes,5.76,1369.20%,5.10%,0.55,54.17,Yes,5.72,Jul 31 BMO,0.00%,1.23M,52.62,1.90,-1.23%,7.21%,21.19%,"808,470",-2.86%,Consumer Discretionary
TAP,S&P 500,-,-0.75,0.40%,216.90M,1.14%,8.21B,9.83,3.87,-7.20%,176.36M,4.02%,-161.10M,-,1.03,87.20%,5.67%,-10.38%,9.93B,0.83,-78.40%,-4.80%,4.58,-20.90%,59.95,0.63,6.85%,-0.60%,44.87,-28.54%,3.61,10.52,-5.39%,-1.20%,33.18 - 61.94,-29.50%,-,7.28,-16.60%,2.40%,-38.65%,0.88,-,0.50,20.60%,38.20%,14.53%,0.9,17700,0.70,-15.10%,4.40%,57.33,2.08% 2.17%,Yes,0.67,-40.80%,-1.60%,1.06,37.92,Yes,0.62,Jul 30 BMO,-,2.18M,38.0,2.80,1.02%,4.21%,-14.26%,"2,338,984",0.21%,Consumer Staples
PFPT,-,-,-3.0,0.40%,57.37M,0.10%,6.43B,55.02,2.02,-41.38%,56.79M,-1.45%,-169.90M,-,0.39,97.00%,4.12%,1.91%,979.00M,6.57,-17.00%,-1.72%,3.15,-0.34%,10.05,11.08,20.76%,-7.40%,144.17,-12.86%,16.85,6.61,22.00%,-29.30%,83.81 - 133.58,-2.97%,-,28.94,-7.70%,-9.30%,-16.63%,1.27,-,1.70,35.30%,73.50%,32.88%,3.95,3368,1.70,20.50%,-10.20%,47.99,3.84% 2.92%,Yes,0.00,24.00%,-17.40%,1.05,117.17,Yes,1.33,Jul 30 AMC,-,742.46K,111.37,1.80,1.26%,-2.14%,-3.47%,"784,579",-4.95%,Information Technology
LITE,-,44.25,1.74,0.90%,75.00M,-8.71%,5.74B,11.76,6.55,-16.07%,74.84M,-18.12%,135.50M,3.03,1.47,95.30%,9.52%,-3.13%,1.68B,3.42,425.70%,-0.83%,4.68,-6.51%,23.32,3.31,13.10%,4.30%,106.87,35.11%,20.86,3.69,14.60%,8.10%,48.44 - 96.74,-2.80%,-,11.03,100.20%,5.80%,-20.32%,0.92,-,6.60,14.90%,38.70%,59.12%,3.65,5473,7.20,-9.00%,12.20%,33.6,3.02% 3.71%,Yes,0.64,81.80%,8.10%,2.9,87.39,Yes,0.64,Aug 11 BMO,0.00%,1.52M,77.08,2.00,-12.49%,-10.29%,-2.45%,"4,310,547",-11.80%,Information Technology
LEA,-,61.31,1.96,0.10%,60.10M,4.67%,7.06B,10.25,11.71,-3.48%,59.79M,3.93%,124.40M,11.69,2.46,-,1.53%,-3.01%,16.54B,0.43,-29.60%,0.43%,1.88,17.09%,64.35,1.87,279.57%,1.00%,129.67,-0.34%,30.30,3.96,5.25%,3.00%,63.20 - 143.50,-12.51%,-,-,8.10%,13.50%,-16.35%,1.65,-,1.00,2.20%,6.80%,89.94%,3.59,81500,1.30,-51.20%,1.90%,59.33,3.50% 2.72%,Yes,0.86,-266.80%,0.80%,1.37,122.14,Yes,0.60,Aug 04 BMO,114.60%,487.97K,120.04,2.40,3.57%,6.20%,7.23%,"671,350",-1.72%,Consumer Discretionary
OGE,-,-,-0.6,0.33%,200.20M,0.86%,6.32B,14.44,2.20,-0.61%,199.54M,-1.24%,-119.60M,-,1.19,66.50%,0.99%,-5.33%,2.16B,2.92,1.80%,0.06%,1.57,-15.74%,17.8,1.79,3.14%,-1.10%,35.33,-26.02%,0.34,93.59,2.40%,-3.10%,23.00 - 46.43,-28.47%,1.55,-,1.80%,6.40%,-31.49%,0.68,4.87%,0.60,-1.90%,69.10%,38.27%,0.77,2425,0.80,-2.00%,24.30%,48.15,2.52% 2.23%,Yes,1.00,-14.20%,-5.50%,0.6,32.33,Yes,0.98,Aug 06 BMO,-,1.26M,31.81,2.40,-1.80%,-0.38%,-11.56%,"761,600",-1.61%,Utilities
GNTX,-,23.09,1.18,0.20%,245.78M,-0.65%,6.77B,16.17,1.69,-3.92%,245.15M,0.55%,294.60M,1.54,0.40,87.20%,1.95%,-1.30%,1.61B,4.22,2.10%,1.70%,2.62,2.86%,7.54,3.62,41.30%,13.70%,28.00,0.66%,1.67,16.36,15.00%,15.70%,19.48 - 31.27,-5.73%,0.48,22.53,11.10%,21.30%,-12.63%,1.12,1.76%,2.80,6.20%,33.80%,40.25%,0.56,5874,3.90,-75.50%,21.00%,52.36,2.82% 1.69%,Yes,0.04,-101.40%,18.40%,0.86,28.22,Yes,0.00,Jul 24 BMO,39.10%,1.82M,27.32,2.50,-0.29%,2.63%,1.89%,"1,571,185",-3.19%,Consumer Discretionary
LYV,S&P 500,-,-3.79,1.60%,211.69M,-2.03%,11.89B,-,-1.77,-3.13%,159.06M,17.76%,-795.20M,-,-2.25,73.40%,9.75%,-1.51%,8.10B,1.47,72.70%,-6.75%,5.7,5.85%,1.62,34.63,77.10%,-7.20%,50.80,-20.96%,15.53,3.61,-,-87.50%,21.70 - 76.60,-21.51%,-,-,45.50%,5.80%,-26.76%,1.18,-,1.30,11.00%,25.30%,158.53%,2.21,10500,1.30,-97.70%,-7.20%,61.86,4.21% 4.13%,Yes,14.32,-753.90%,-9.80%,0.92,57.9,Yes,14.13,Aug 05 AMC,-,2.72M,56.1,2.20,6.30%,14.00%,2.96%,"2,563,206",-3.11%,Communication Services
AZPN,-,39.43,3.29,0.40%,67.81M,2.32%,8.71B,26.01,4.99,-17.23%,67.44M,26.75%,225.70M,19.72,0.93,-,2.66%,17.63%,590.20M,14.76,52.00%,-2.68%,3.92,25.87%,5.68,22.85,-1.19%,24.40%,134.40,-3.80%,2.86,45.32,2.00%,63.90%,73.07 - 142.89,7.31%,-,36.88,32.30%,39.50%,-9.18%,1.31,-,2.30,8.90%,89.60%,77.60%,3.96,1600,2.30,-10.80%,45.90%,67.57,2.39% 3.04%,Yes,1.12,-27.60%,42.40%,0.83,132.61,Yes,0.77,Aug 12 AMC,0.00%,457.08K,129.77,2.20,8.87%,20.96%,18.00%,"380,717",-2.14%,Information Technology
